invoice_id,date,store_city,category,product_name,quantity,unit_price,total_sales,payment_mode,customer_type
200028,2024-09-21,Salem,Fruits & Vegetables,Tomato,5,1457.92,7289.6,Cash,New
200029,2024-09-25,Tiruppur,Apparel & Footwear,T-Shirt,6,4790.23,28741.38,UPI,Regular
200030,2024-11-23,Vellore,Dairy & Bakery,Milk,7,429.64,3007.48,Card,
200031,2024-09-25,Shoolagiri,Pet Care,Cat Food,6,1183.55,7101.3,Cash,New
200032,2024-05-15,Tiruppur,Baby Care,Baby Soap,8,744.23,5953.84,Card,New
200033,2024-05-26,Tiruppur,Bed & Bath,Towel,6,2286.95,13721.7,,New
200034,2024-06-05,Dindigul,Dairy & Bakery,Butter,8,2160.77,17286.16,UPI,Regular
200035,2024-08-26,Madurai,Fruits & Vegetables,Onion,3,4910.73,14732.19,,
200036,2024-07-19,Dindigul,Grocery & Staples,Toor Dal,7,2595.07,18165.49,Cash,New
200037,2024-06-02,Madurai,Bed & Bath,Towel,2,1473.78,2947.56,UPI,Regular
200038,2024-11-15,Kovilpatti,Bed & Bath,Towel,5,4141.8,20709.0,,
200039,2024-03-01,Dindigul,Home & Kitchen,Storage Box,7,4222.78,29559.46,Card,Regular
200040,2024-08-17,Tiruchirappalli,Fruits & Vegetables,Tomato,6,1269.37,7616.22,UPI,New
200041,2024-03-13,Salem,Grocery & Staples,Rice,4,2263.88,9055.52,Card,New
200042,2024-09-22,Kovilpatti,Baby Care,Baby Soap,6,3993.12,23958.72,,Regular
200043,2024-09-15,Vellore,Pet Care,Dog Food,2,1749.36,3498.72,UPI,New
200044,2024-01-03,Hosur,Bed & Bath,Towel,8,1148.81,9190.48,UPI,
200045,2024-06-04,Hosur,Apparel & Footwear,Jeans,7,3140.3,21982.1,Card,
200046,2024-04-18,Tiruchirappalli,Kids & Toys,Toy Car,8,3111.48,24891.84,Cash,New
200047,2024-05-28,Coimbatore,Bed & Bath,Bedsheet,1,784.99,784.99,Cash,Regular
200048,2024-02-01,Coimbatore,Beverages,Soft Drink,3,4493.98,13481.94,Card,Regular
200049,2024-11-06,Shoolagiri,Baby Care,Baby Soap,8,2395.73,19165.84,Card,New
200050,2024-02-19,Madurai,Grocery & Staples,Rice,5,1273.76,6368.8,Card,New
200051,2024-11-08,Tiruppur,Beverages,Soft Drink,5,3304.22,16521.1,Cash,New
200052,2024-08-02,Chennai,Dairy & Bakery,Bread,6,1125.04,6750.24,Cash,New
200053,2024-11-08,Vellore,Beverages,Tea,8,2832.29,22658.32,Cash,
200054,2024-09-10,Madurai,Apparel & Footwear,Jeans,8,4247.69,33981.52,Cash,
200055,2024-10-07,Madurai,Household & Cleaning,Phenyl,5,631.24,3156.2,Card,New
200056,2024-08-22,Tiruppur,Apparel & Footwear,Jeans,3,889.65,2668.95,Cash,New
200057,2024-03-07,Chennai,Stationery & School Supplies,Notebook,8,545.85,4366.8,Cash,Regular
200058,2024-11-28,Tiruppur,Kids & Toys,Doll,2,1699.53,3399.06,,New
200059,2024-03-20,Dindigul,Home & Kitchen,Storage Box,4,3956.29,15825.16,UPI,New
200060,2024-07-23,Shoolagiri,Beverages,Tea,4,3210.53,12842.12,Card,New
200061,2024-12-13,Shoolagiri,Grocery & Staples,Rice,7,997.53,6982.71,Card,Regular
200062,2024-06-26,Madurai,Household & Cleaning,Dishwash Liquid,6,4825.77,28954.62,Card,Regular
200063,2024-01-21,Hosur,Apparel & Footwear,T-Shirt,5,1709.77,8548.85,Cash,
200064,2024-04-06,Hosur,Personal Care,Toothpaste,6,1140.29,6841.74,Cash,
200065,2024-04-09,Coimbatore,Pet Care,Cat Food,3,3125.87,9377.61,Card,Regular
200066,2024-03-31,Vellore,Home Appliances,Iron Box,3,978.5,2935.5,Card,
200067,2024-05-16,Hosur,Household & Cleaning,Detergent,4,946.41,3785.64,,Regular
200068,2024-06-13,Vellore,Baby Care,Baby Soap,5,1925.29,9626.45,Cash,
200069,2024-11-03,Chennai,Snacks & Packaged Foods,Chocolates,5,1590.38,7951.9,Cash,
200070,2024-09-30,Shoolagiri,Baby Care,Baby Soap,4,3424.54,13698.16,Card,Regular
200071,2024-03-07,Madurai,Household & Cleaning,Detergent,7,2927.73,20494.11,,Regular
200072,2024-09-20,Dindigul,Home Appliances,Iron Box,2,202.0,404.0,Cash,Regular
200073,2024-02-10,Dindigul,Personal Care,Soap,2,2333.37,4666.74,,
200074,2024-05-16,Coimbatore,Grocery & Staples,Wheat Flour,3,4043.82,12131.46,,Regular
200075,2024-07-28,Kovilpatti,Household & Cleaning,Phenyl,6,515.62,3093.72,,Regular
200076,2024-12-28,Tiruchirappalli,Kids & Toys,Doll,7,1871.23,13098.61,UPI,New
200077,2024-07-19,Tiruchirappalli,Bed & Bath,Towel,8,3906.03,31248.24,,New
200078,2024-10-30,Hosur,Bed & Bath,Towel,3,4409.02,13227.06,UPI,
200079,2024-05-16,Vellore,Home & Kitchen,Cookware,1,4077.87,4077.87,,New
200080,2024-08-19,Kovilpatti,Kids & Toys,Doll,6,1663.88,9983.28,,Regular
200081,2024-03-16,Chennai,Home & Kitchen,Storage Box,3,2745.06,8235.18,Cash,Regular
200082,2024-03-20,Tiruchirappalli,Home Appliances,Iron Box,7,1441.85,10092.95,Card,New
200083,2024-06-14,Chennai,Stationery & School Supplies,Pen,7,1019.75,7138.25,Card,New
200084,2024-05-11,Chennai,Stationery & School Supplies,Notebook,2,705.19,1410.38,UPI,New
200085,2024-06-21,Chennai,Grocery & Staples,Toor Dal,7,3602.77,25219.39,UPI,New
200086,2024-05-30,Shoolagiri,Apparel & Footwear,T-Shirt,7,3194.59,22362.13,,Regular
200087,2024-06-13,Vellore,Apparel & Footwear,Jeans,5,3998.96,19994.8,Card,Regular
200088,2024-09-27,Tiruppur,Household & Cleaning,Detergent,8,2244.81,17958.48,UPI,
200089,2024-09-07,Salem,Baby Care,Diapers,4,2164.31,8657.24,,New
200090,2024-06-08,Shoolagiri,Kids & Toys,Toy Car,6,1072.17,6433.02,Cash,Regular
200091,2024-07-04,Chennai,Kids & Toys,Doll,8,4428.1,35424.8,Cash,
200092,2024-03-14,Chennai,Apparel & Footwear,Slippers,1,2169.5,2169.5,UPI,Regular
200093,2024-07-05,Hosur,Grocery & Staples,Toor Dal,6,1524.64,9147.84,Card,
200094,2024-11-17,Dindigul,Baby Care,Diapers,3,935.14,2805.42,,
200095,2024-04-22,Vellore,Apparel & Footwear,T-Shirt,4,3803.81,15215.24,Cash,Regular
200096,2024-03-10,Vellore,Apparel & Footwear,T-Shirt,1,1155.81,1155.81,Cash,New
200097,2024-08-30,Vellore,Home & Kitchen,Cookware,6,2230.1,13380.6,Cash,New
200098,2024-06-21,Tiruppur,Apparel & Footwear,Jeans,7,1035.32,7247.24,,
200099,2024-12-16,Hosur,Beverages,Coffee,1,1113.41,1113.41,UPI,Regular
200100,2024-02-10,Vellore,Personal Care,Toothpaste,2,2207.55,4415.1,UPI,
200101,2024-11-17,Tiruchirappalli,Personal Care,Toothpaste,7,4221.8,29552.6,Card,Regular
200102,2024-06-13,Tiruppur,Grocery & Staples,Wheat Flour,3,2570.98,7712.94,UPI,Regular
200103,2024-06-06,Kovilpatti,Grocery & Staples,Wheat Flour,8,4278.65,34229.2,,New
200104,2024-05-04,Shoolagiri,Home & Kitchen,Storage Box,1,1875.26,1875.26,Cash,Regular
200105,2024-05-10,Coimbatore,Baby Care,Diapers,4,4735.71,18942.84,Cash,New
200106,2024-11-21,Kovilpatti,Apparel & Footwear,Jeans,8,1846.82,14774.56,UPI,Regular
200107,2024-05-29,Tiruppur,Apparel & Footwear,Jeans,4,162.14,648.56,UPI,
200108,2024-03-24,Vellore,Apparel & Footwear,Jeans,5,1238.47,6192.35,,New
200109,2024-08-30,Dindigul,Home Appliances,Iron Box,2,1334.63,2669.26,,New
200110,2024-06-14,Tiruppur,Home & Kitchen,Cookware,5,2639.93,13199.65,,New
200111,2024-12-01,Tiruppur,Home & Kitchen,Storage Box,1,1966.89,1966.89,Cash,
200112,2024-04-17,Madurai,Baby Care,Baby Soap,6,3599.06,21594.36,UPI,
200113,2024-06-04,Kovilpatti,Baby Care,Diapers,7,4226.42,29584.94,UPI,Regular
200114,2024-02-10,Tiruchirappalli,Home & Kitchen,Cookware,7,3884.95,27194.65,Cash,
200115,2024-11-11,Shoolagiri,Fruits & Vegetables,Apple,2,2731.76,5463.52,Card,New
200116,2024-02-21,Dindigul,Fruits & Vegetables,Tomato,7,3721.39,26049.73,Cash,Regular
200117,2024-02-02,Madurai,Home Appliances,Mixer,1,3528.62,3528.62,Cash,Regular
200118,2024-12-21,Chennai,Snacks & Packaged Foods,Biscuits,3,2562.03,7686.09,,New
200119,2024-08-06,Tiruppur,Beverages,Juice,5,1685.94,8429.7,,Regular
200120,2024-08-05,Coimbatore,Dairy & Bakery,Milk,3,3812.94,11438.82,,New
200121,2024-04-18,Hosur,Personal Care,Shampoo,3,1803.52,5410.56,,
200122,2024-05-30,Tiruchirappalli,Beverages,Soft Drink,3,2453.75,7361.25,Cash,Regular
200123,2024-02-14,Salem,Pet Care,Dog Food,4,184.7,738.8,Card,
200124,2024-04-11,Chennai,Stationery & School Supplies,Notebook,6,3960.59,23763.54,UPI,New
200125,2024-11-07,Madurai,Dairy & Bakery,Curd,2,4466.44,8932.88,Card,
200126,2024-07-01,Kovilpatti,Stationery & School Supplies,Notebook,2,32.62,65.24,Card,New
200127,2024-12-10,Salem,Apparel & Footwear,Jeans,6,142.08,852.48,Card,New
200128,2024-02-28,Dindigul,Grocery & Staples,Wheat Flour,3,1999.46,5998.38,Card,New
200129,2024-04-03,Coimbatore,Stationery & School Supplies,Notebook,3,812.75,2438.25,Card,Regular
200130,2024-04-11,Madurai,Bed & Bath,Bedsheet,4,3018.0,12072.0,Card,
200131,2024-08-10,Tiruppur,Household & Cleaning,Detergent,3,4341.13,13023.39,UPI,Regular
200132,2024-07-02,Madurai,Bed & Bath,Bedsheet,1,1735.68,1735.68,Cash,New
200133,2024-11-08,Madurai,Household & Cleaning,Detergent,8,2214.4,17715.2,Card,Regular
200134,2024-02-29,Madurai,Pet Care,Dog Food,2,61.4,122.8,UPI,
200135,2024-03-13,Coimbatore,Kids & Toys,Toy Car,2,3439.8,6879.6,UPI,New
200136,2024-07-25,Shoolagiri,Kids & Toys,Toy Car,4,3379.73,13518.92,UPI,Regular
200137,2024-05-09,Hosur,Personal Care,Soap,4,2709.94,10839.76,Card,
200138,2024-04-20,Dindigul,Household & Cleaning,Phenyl,1,1733.48,1733.48,Card,New
200139,2024-10-16,Shoolagiri,Home & Kitchen,Cookware,8,3970.04,31760.32,,
200140,2024-09-04,Hosur,Beverages,Juice,4,2589.41,10357.64,,Regular
200141,2024-02-21,Coimbatore,Grocery & Staples,Sugar,8,1438.02,11504.16,,New
200142,2024-09-17,Hosur,Beverages,Coffee,4,3656.89,14627.56,Card,
200143,2024-05-19,Hosur,Dairy & Bakery,Bread,5,1147.25,5736.25,Cash,Regular
200144,2024-05-17,Hosur,Home Appliances,Iron Box,2,3579.27,7158.54,UPI,Regular
200145,2024-10-26,Tiruppur,Beverages,Tea,7,1546.44,10825.08,Card,Regular
200146,2024-01-20,Hosur,Snacks & Packaged Foods,Chocolates,1,2438.51,2438.51,UPI,New
200147,2024-07-17,Dindigul,Beverages,Soft Drink,8,1494.3,11954.4,UPI,Regular
200148,2024-12-11,Shoolagiri,Beverages,Coffee,5,3615.15,18075.75,,
200149,2024-04-06,Chennai,Grocery & Staples,Wheat Flour,3,485.71,1457.13,UPI,Regular
200150,2024-08-26,Vellore,Kids & Toys,Toy Car,2,473.98,947.96,Card,Regular
200151,2024-10-13,Tiruppur,Apparel & Footwear,T-Shirt,7,256.84,1797.88,,New
200152,2024-02-03,Coimbatore,Household & Cleaning,Phenyl,6,3360.83,20164.98,UPI,
200153,2024-03-19,Dindigul,Baby Care,Baby Soap,8,2561.78,20494.24,,Regular
200154,2024-09-21,Salem,Bed & Bath,Towel,1,1120.8,1120.8,Cash,New
200155,2024-04-09,Chennai,Fruits & Vegetables,Tomato,7,4085.03,28595.21,Card,
200156,2024-11-07,Salem,Beverages,Coffee,3,1745.67,5237.01,UPI,
200157,2024-12-19,Hosur,Beverages,Tea,1,2613.42,2613.42,,
200158,2024-06-15,Kovilpatti,Beverages,Soft Drink,5,4647.58,23237.9,UPI,New
200159,2024-03-15,Vellore,Beverages,Tea,6,4879.85,29279.1,UPI,
200160,2024-09-03,Coimbatore,Baby Care,Baby Soap,5,514.67,2573.35,Cash,
200161,2024-02-10,Salem,Grocery & Staples,Sugar,3,4293.14,12879.42,Cash,
200162,2024-09-18,Tiruchirappalli,Home & Kitchen,Storage Box,1,393.94,393.94,Card,
200163,2024-01-15,Kovilpatti,Dairy & Bakery,Butter,1,3600.21,3600.21,,New
200164,2024-05-09,Tiruppur,Bed & Bath,Bedsheet,7,2716.18,19013.26,Cash,
200165,2024-08-01,Shoolagiri,Apparel & Footwear,Slippers,1,1638.43,1638.43,Card,
200166,2024-05-21,Hosur,Snacks & Packaged Foods,Noodles,3,675.81,2027.43,Card,New
200167,2024-11-04,Tiruppur,Bed & Bath,Bedsheet,3,2482.2,7446.6,Cash,Regular
200168,2024-07-22,Tiruchirappalli,Home & Kitchen,Storage Box,2,4116.91,8233.82,UPI,Regular
200169,2024-04-25,Hosur,Home & Kitchen,Cookware,7,3122.5,21857.5,UPI,New
200170,2024-03-26,Madurai,Home & Kitchen,Cookware,8,1807.41,14459.28,Card,
200171,2024-12-25,Tiruchirappalli,Baby Care,Diapers,8,20.17,161.36,Cash,Regular
200172,2024-05-20,Hosur,Apparel & Footwear,Slippers,5,1107.1,5535.5,UPI,Regular
200173,2024-06-29,Salem,Beverages,Coffee,6,361.34,2168.04,UPI,
200174,2024-05-07,Tiruchirappalli,Household & Cleaning,Dishwash Liquid,1,3305.33,3305.33,,
200175,2024-07-29,Coimbatore,Kids & Toys,Toy Car,3,3890.59,11671.77,,Regular
200176,2024-03-23,Tiruppur,Stationery & School Supplies,Pen,2,514.41,1028.82,,
200177,2024-07-30,Madurai,Grocery & Staples,Sugar,7,2565.48,17958.36,UPI,Regular
200178,2024-11-26,Chennai,Fruits & Vegetables,Banana,4,4800.27,19201.08,Cash,Regular
200179,2024-11-15,Coimbatore,Kids & Toys,Doll,7,1423.44,9964.08,Cash,New
200180,2024-12-22,Vellore,Home Appliances,Iron Box,5,887.89,4439.45,UPI,
200181,2024-04-02,Dindigul,Stationery & School Supplies,Notebook,7,133.93,937.51,,New
200182,2024-07-24,Tiruppur,Home & Kitchen,Storage Box,3,4607.71,13823.13,UPI,New
200183,2024-01-14,Kovilpatti,Pet Care,Cat Food,5,4169.45,20847.25,Card,
200184,2024-08-18,Madurai,Household & Cleaning,Detergent,7,1638.98,11472.86,Cash,New
200185,2024-11-09,Kovilpatti,Kids & Toys,Toy Car,2,3338.7,6677.4,Cash,New
200186,2024-04-25,Tiruppur,Apparel & Footwear,Slippers,8,3068.19,24545.52,Card,New
200187,2024-02-04,Madurai,Beverages,Coffee,6,1490.16,8940.96,,
200188,2024-12-13,Kovilpatti,Kids & Toys,Toy Car,5,327.33,1636.65,UPI,Regular
200189,2024-12-03,Coimbatore,Home Appliances,Mixer,1,135.99,135.99,UPI,Regular
200190,2024-09-22,Tiruchirappalli,Beverages,Soft Drink,8,3096.6,24772.8,Card,Regular
200191,2024-12-14,Tiruppur,Home Appliances,Mixer,6,1209.43,7256.58,,Regular
200192,2024-07-28,Dindigul,Pet Care,Dog Food,3,2751.34,8254.02,Card,Regular
200193,2024-02-27,Kovilpatti,Kids & Toys,Doll,4,2116.26,8465.04,,Regular
200194,2024-01-30,Tiruchirappalli,Dairy & Bakery,Curd,3,644.03,1932.09,UPI,
200195,2024-03-04,Hosur,Bed & Bath,Towel,3,2608.21,7824.63,Card,
200196,2024-11-29,Dindigul,Home & Kitchen,Storage Box,1,3938.45,3938.45,UPI,Regular
200197,2024-01-27,Vellore,Household & Cleaning,Detergent,7,2429.88,17009.16,UPI,Regular
200198,2024-08-06,Madurai,Snacks & Packaged Foods,Noodles,2,4986.94,9973.88,,New
200199,2024-04-22,Dindigul,Household & Cleaning,Phenyl,2,1419.71,2839.42,,
200200,2024-12-18,Tiruppur,Pet Care,Dog Food,2,377.51,755.02,UPI,
200201,2024-09-04,Salem,Snacks & Packaged Foods,Chocolates,7,24.84,173.88,,New
200202,2024-02-06,Vellore,Grocery & Staples,Wheat Flour,2,1801.69,3603.38,,Regular
200203,2024-01-31,Coimbatore,Household & Cleaning,Dishwash Liquid,5,3650.45,18252.25,Cash,Regular
200204,2024-04-05,Vellore,Snacks & Packaged Foods,Biscuits,7,1504.85,10533.95,Card,Regular
200205,2024-02-26,Shoolagiri,Apparel & Footwear,T-Shirt,2,1015.18,2030.36,UPI,
200206,2024-12-18,Salem,Fruits & Vegetables,Banana,4,1538.5,6154.0,,New
200207,2024-02-13,Dindigul,Grocery & Staples,Wheat Flour,5,1564.83,7824.15,,New
200208,2024-01-20,Tiruppur,Home & Kitchen,Storage Box,2,1438.17,2876.34,UPI,New
200209,2024-09-09,Kovilpatti,Personal Care,Soap,7,2265.77,15860.39,Card,
200210,2024-02-18,Kovilpatti,Stationery & School Supplies,Pen,7,2719.28,19034.96,Cash,New
200211,2024-08-29,Tiruchirappalli,Home & Kitchen,Cookware,3,4121.44,12364.32,Card,New
200212,2024-09-25,Coimbatore,Dairy & Bakery,Bread,5,1828.02,9140.1,,Regular
200213,2024-11-08,Kovilpatti,Bed & Bath,Towel,2,2705.32,5410.64,,New
200214,2024-03-04,Hosur,Personal Care,Toothpaste,7,1698.93,11892.51,Card,
200215,2024-02-09,Tiruchirappalli,Fruits & Vegetables,Onion,7,1070.77,7495.39,,New
200216,2024-04-20,Madurai,Fruits & Vegetables,Apple,8,4824.36,38594.88,,New
200217,2024-04-10,Kovilpatti,Bed & Bath,Bedsheet,7,3943.78,27606.46,UPI,
200218,2024-04-02,Salem,Fruits & Vegetables,Banana,6,2434.69,14608.14,Cash,New
200219,2024-01-23,Dindigul,Grocery & Staples,Rice,7,1992.43,13947.01,,New
200220,2024-04-21,Shoolagiri,Apparel & Footwear,Slippers,4,937.37,3749.48,UPI,Regular
200221,2024-02-20,Tiruchirappalli,Baby Care,Diapers,4,222.76,891.04,Card,Regular
200222,2024-08-18,Coimbatore,Bed & Bath,Towel,3,2398.14,7194.42,Cash,Regular
200223,2024-10-17,Salem,Kids & Toys,Toy Car,6,3331.57,19989.42,Card,New
200224,2024-04-11,Salem,Apparel & Footwear,T-Shirt,6,3655.58,21933.48,Card,Regular
200225,2024-10-27,Dindigul,Snacks & Packaged Foods,Chips,8,285.39,2283.12,UPI,
200226,2024-07-31,Tiruppur,Fruits & Vegetables,Onion,6,3553.22,21319.32,,
200227,2024-01-01,Kovilpatti,Household & Cleaning,Phenyl,8,3629.07,29032.56,UPI,New
200228,2024-04-08,Kovilpatti,Household & Cleaning,Dishwash Liquid,3,4744.85,14234.55,Cash,New
200229,2024-07-28,Madurai,Apparel & Footwear,Jeans,1,3825.92,3825.92,Card,
200230,2024-04-09,Dindigul,Home Appliances,Mixer,1,4821.59,4821.59,Cash,Regular
200231,2024-02-01,Salem,Home Appliances,Iron Box,7,4915.3,34407.1,,
200232,2024-01-28,Kovilpatti,Baby Care,Diapers,5,617.06,3085.3,UPI,Regular
200233,2024-04-08,Vellore,Home Appliances,Iron Box,2,3010.76,6021.52,UPI,New
200234,2024-08-24,Tiruppur,Bed & Bath,Bedsheet,4,174.95,699.8,Cash,Regular
200235,2024-07-08,Salem,Pet Care,Cat Food,3,3533.45,10600.35,UPI,
200236,2024-12-25,Chennai,Personal Care,Toothpaste,4,4442.56,17770.24,Card,New
200237,2024-03-22,Shoolagiri,Personal Care,Shampoo,6,3101.38,18608.28,Cash,
200238,2024-04-30,Coimbatore,Bed & Bath,Bedsheet,2,336.89,673.78,UPI,Regular
200239,2024-01-21,Chennai,Beverages,Coffee,2,1201.99,2403.98,Cash,New
200240,2024-02-25,Coimbatore,Baby Care,Diapers,4,121.17,484.68,UPI,
200241,2024-12-10,Tiruchirappalli,Home Appliances,Mixer,3,2895.87,8687.61,Cash,New
200242,2024-03-31,Tiruppur,Stationery & School Supplies,Notebook,3,578.05,1734.15,Card,New
200243,2024-07-18,Chennai,Beverages,Soft Drink,7,2323.38,16263.66,Card,New
200244,2024-12-17,Vellore,Dairy & Bakery,Butter,1,2597.09,2597.09,Cash,
200245,2024-09-25,Vellore,Beverages,Coffee,2,3478.68,6957.36,Cash,
200246,2024-01-24,Hosur,Household & Cleaning,Dishwash Liquid,8,3298.1,26384.8,Card,Regular
200247,2024-10-31,Kovilpatti,Baby Care,Baby Soap,8,4904.82,39238.56,UPI,
200248,2024-05-17,Vellore,Dairy & Bakery,Milk,6,411.58,2469.48,UPI,New
200249,2024-02-14,Hosur,Home Appliances,Iron Box,2,4744.02,9488.04,,Regular
200250,2024-06-06,Chennai,Baby Care,Diapers,5,3859.37,19296.85,,
200251,2024-11-29,Vellore,Fruits & Vegetables,Apple,3,578.97,1736.91,UPI,New
200252,2024-02-08,Salem,Stationery & School Supplies,Notebook,1,2076.63,2076.63,,New
200253,2024-09-07,Tiruchirappalli,Personal Care,Shampoo,8,1159.19,9273.52,Card,New
200254,2024-04-11,Salem,Snacks & Packaged Foods,Noodles,6,4995.54,29973.24,,
200255,2024-07-09,Tiruchirappalli,Home Appliances,Iron Box,2,3937.41,7874.82,,
200256,2024-06-11,Madurai,Dairy & Bakery,Butter,8,831.68,6653.44,Card,Regular
200257,2024-11-11,Madurai,Kids & Toys,Toy Car,6,4166.78,25000.68,Card,Regular
200258,2024-10-24,Dindigul,Home Appliances,Mixer,1,2173.28,2173.28,Cash,Regular
200259,2024-12-23,Shoolagiri,Bed & Bath,Towel,5,3627.32,18136.6,,New
200260,2024-09-27,Tiruppur,Snacks & Packaged Foods,Biscuits,7,3775.26,26426.82,Card,New
200261,2024-01-29,Tiruchirappalli,Dairy & Bakery,Milk,3,838.04,2514.12,Card,Regular
200262,2024-04-24,Tiruppur,Pet Care,Dog Food,2,1083.18,2166.36,,Regular
200263,2024-12-29,Kovilpatti,Dairy & Bakery,Curd,6,3169.25,19015.5,Cash,New
200264,2024-01-30,Vellore,Home & Kitchen,Cookware,4,1794.57,7178.28,Card,
200265,2024-07-11,Tiruppur,Fruits & Vegetables,Apple,3,4144.37,12433.11,Card,
200266,2024-01-29,Madurai,Home Appliances,Iron Box,6,4421.22,26527.32,Cash,Regular
200267,2024-10-14,Kovilpatti,Pet Care,Dog Food,8,1893.89,15151.12,,New
200268,2024-05-06,Tiruchirappalli,Apparel & Footwear,T-Shirt,2,587.39,1174.78,,
200269,2024-01-01,Chennai,Fruits & Vegetables,Banana,2,2534.56,5069.12,UPI,New
200270,2024-03-25,Tiruchirappalli,Personal Care,Toothpaste,2,975.55,1951.1,Card,New
200271,2024-07-27,Kovilpatti,Baby Care,Baby Soap,6,3015.1,18090.6,Cash,New
200272,2024-06-19,Dindigul,Household & Cleaning,Phenyl,3,2904.44,8713.32,Card,New
200273,2024-08-20,Dindigul,Baby Care,Baby Soap,1,3463.87,3463.87,Cash,Regular
200274,2024-11-23,Dindigul,Beverages,Soft Drink,3,1987.03,5961.09,Card,Regular
200275,2024-11-24,Shoolagiri,Apparel & Footwear,T-Shirt,5,1745.74,8728.7,Cash,Regular
200276,2024-10-07,Tiruchirappalli,Grocery & Staples,Toor Dal,6,3019.63,18117.78,UPI,
200277,2024-06-09,Tiruchirappalli,Stationery & School Supplies,Notebook,7,3682.07,25774.49,Cash,
200278,2024-10-23,Vellore,Apparel & Footwear,T-Shirt,2,3276.06,6552.12,Card,New
200279,2024-12-13,Salem,Snacks & Packaged Foods,Chips,4,4113.85,16455.4,Cash,New
200280,2024-07-18,Kovilpatti,Home & Kitchen,Storage Box,6,2480.41,14882.46,Cash,Regular
200281,2024-08-31,Dindigul,Personal Care,Soap,7,3265.8,22860.6,UPI,Regular
200282,2024-10-08,Shoolagiri,Home Appliances,Mixer,4,4046.31,16185.24,UPI,New
200283,2024-07-17,Madurai,Household & Cleaning,Dishwash Liquid,5,2620.47,13102.35,Card,Regular
200284,2024-04-11,Tiruchirappalli,Baby Care,Baby Soap,3,3365.38,10096.14,,New
200285,2024-12-25,Kovilpatti,Grocery & Staples,Rice,3,886.47,2659.41,,
200286,2024-01-28,Vellore,Beverages,Soft Drink,4,1775.73,7102.92,,Regular
200287,2024-11-20,Kovilpatti,Snacks & Packaged Foods,Noodles,5,4875.03,24375.15,UPI,Regular
200288,2024-02-29,Dindigul,Apparel & Footwear,Jeans,8,3860.55,30884.4,UPI,
200289,2024-07-04,Madurai,Personal Care,Shampoo,1,79.09,79.09,Cash,
200290,2024-11-04,Kovilpatti,Dairy & Bakery,Bread,4,4353.02,17412.08,Cash,New
200291,2024-06-25,Salem,Kids & Toys,Doll,1,4868.0,4868.0,Card,
200292,2024-10-29,Coimbatore,Grocery & Staples,Wheat Flour,1,1146.84,1146.84,Cash,New
